"time","OP"
1.934,0.034
1.936,0.036
1.938,0.038
1.94,0.04
1.94,0.02
1.942,0.022
1.944,0.024
1.946,0.026
1.948,0.028
1.95,0.03
1.952,0.032
1.954,0.034
1.956,0.036
1.958,0.038
1.96,0.04
1.96,0.02
1.962,0.022
1.964,0.024
1.966,0.026
1.968,0.028
1.97,0.03
1.972,0.032
1.974,0.034
1.976,0.036
1.978,0.038
1.98,0.04
1.98,0.02
1.982,0.022
1.984,0.024
1.986,0.026
1.988,0.028
1.99,0.03
1.992,0.032
1.994,0.034
1.996,0.036
1.998,0.038
2,0.04
2,0.02
2.002,0.022
2.004,0.024
2.006,0.026
2.008,0.028
2.01,0.03
2.012,0.032
2.014,0.034
2.016,0.036
2.018,0.038
2.02,0.04
2.02,0.02
2.022,0.022
2.024,0.024
2.026,0.026
2.028,0.028
2.03,0.03
2.032,0.032
2.034,0.034
2.036,0.036
2.038,0.038
2.04,0.04
2.04,0.02
2.042,0.022
2.044,0.024
2.046,0.026
2.048,0.028
2.05,0.03
2.052,0.032
2.054,0.034
2.056,0.036
2.058,0.038
2.06,0.04
2.06,0.02
2.062,0.022
2.064,0.024
2.066,0.026
2.068,0.028
2.07,0.03
2.072,0.032
2.074,0.034
2.076,0.036
2.078,0.038
2.08,0.04
2.08,0.02
2.082,0.022
2.084,0.024
2.086,0.026
2.088,0.028
2.09,0.03
2.092,0.032
2.094,0.034
2.096,0.036
2.098,0.038
2.1,0.04
2.1,0.02
2.102,0.022
2.104,0.024
2.106,0.026
2.108,0.028
2.11,0.03
2.112,0.032
2.114,0.034
2.116,0.036
2.118,0.038
2.12,0.04
2.12,0.02
2.122,0.022
2.124,0.024
2.126,0.026
2.128,0.028
2.13,0.03
2.132,0.032
2.134,0.034
2.136,0.036
2.138,0.038
2.14,0.04
2.14,0.02
2.142,0.022
2.144,0.024
2.146,0.026
2.148,0.028
2.15,0.03
2.152,0.032
2.154,0.034
2.156,0.036
2.158,0.038
2.16,0.04
2.16,0.02
2.162,0.022
2.164,0.024
2.166,0.026
2.168,0.028
2.17,0.03
2.172,0.032
2.174,0.034
2.176,0.036
2.178,0.038
2.18,0.04
2.18,0.02
2.182,0.022
2.184,0.024
2.186,0.026
2.188,0.028
2.19,0.03
2.192,0.032
2.194,0.034
2.196,0.036
2.198,0.038
2.2,0.04
2.2,0.02
2.202,0.022
2.204,0.024
2.206,0.026
2.208,0.028
2.21,0.03
2.212,0.032
2.214,0.034
2.216,0.036
2.218,0.038
2.22,0.04
2.22,0.02
2.222,0.022
2.224,0.024
2.226,0.026
2.228,0.028
2.23,0.03
2.232,0.032
2.234,0.034
2.236,0.036
2.238,0.038
2.24,0.04
2.24,0.02
2.242,0.022
2.244,0.024
2.246,0.026
2.248,0.028
2.25,0.03
2.252,0.032
2.254,0.034
2.256,0.036
2.258,0.038
2.26,0.04
2.26,0.02
2.262,0.022
2.264,0.024
2.266,0.026
2.268,0.028
2.27,0.03
2.272,0.032
2.274,0.034
2.276,0.036
2.278,0.038
2.28,0.04
2.28,0.02
2.282,0.022
2.284,0.024
2.286,0.026
2.288,0.028
2.29,0.03
2.292,0.032
2.294,0.034
2.296,0.036
2.298,0.038
2.3,0.04
2.3,0.02
2.302,0.022
2.304,0.024
2.306,0.026
2.308,0.028
2.31,0.03
2.312,0.032
2.314,0.034
2.316,0.036
2.318,0.038
2.32,0.04
2.32,0.02
2.322,0.022
2.324,0.024
