"time","OP"
2.12,0.04
2.122,0.042
2.124,0.044
2.126,0.046
2.128,0.048
2.13,0.05
2.132,0.052
2.134,0.054
2.136,0.056
2.138,0.058
2.14,0.06
2.142,0.062
2.144,0.064
2.146,0.066
2.148,0.068
2.15,0.07
2.152,0.072
2.154,0.074
2.156,0.076
2.158,0.078
2.16,0.08
2.16,0.04
2.162,0.042
2.164,0.044
2.166,0.046
2.168,0.048
2.17,0.05
2.172,0.052
2.174,0.054
2.176,0.056
2.178,0.058
2.18,0.06
2.182,0.062
2.184,0.064
2.186,0.066
2.188,0.068
2.19,0.07
2.192,0.072
2.194,0.074
2.196,0.076
2.198,0.078
2.2,0.08
2.2,0.04
2.202,0.042
2.204,0.044
2.206,0.046
2.208,0.048
2.21,0.05
2.212,0.052
2.214,0.054
2.216,0.056
2.218,0.058
2.22,0.06
2.222,0.062
2.224,0.064
2.226,0.066
2.228,0.068
2.23,0.07
2.232,0.072
2.234,0.074
2.236,0.076
2.238,0.078
2.24,0.08
2.24,0.04
2.242,0.042
2.244,0.044
2.246,0.046
2.248,0.048
2.25,0.05
2.252,0.052
2.254,0.054
2.256,0.056
2.258,0.058
2.26,0.06
2.262,0.062
2.264,0.064
2.266,0.066
2.268,0.068
2.27,0.07
2.272,0.072
2.274,0.074
2.276,0.076
2.278,0.078
2.28,0.08
2.28,0.04
2.282,0.042
2.284,0.044
2.286,0.046
2.288,0.048
2.29,0.05
2.292,0.052
2.294,0.054
2.296,0.056
2.298,0.058
2.3,0.06
2.302,0.062
2.304,0.064
2.306,0.066
2.308,0.068
2.31,0.07
2.312,0.072
2.314,0.074
2.316,0.076
2.318,0.078
2.32,0.08
2.32,0.04
2.322,0.042
2.324,0.044
2.326,0.046
2.328,0.048
2.33,0.05
2.332,0.052
2.334,0.054
2.336,0.056
2.338,0.058
2.34,0.06
2.342,0.062
2.344,0.064
2.346,0.066
2.348,0.068
2.35,0.07
2.352,0.072
2.354,0.074
2.356,0.076
2.358,0.078
2.36,0.08
2.36,0.04
2.362,0.042
2.364,0.044
2.366,0.046
2.368,0.048
2.37,0.05
2.372,0.052
2.374,0.054
2.376,0.056
2.378,0.058
2.38,0.06
2.382,0.062
2.384,0.064
2.386,0.066
2.388,0.068
2.39,0.07
2.392,0.072
2.394,0.074
2.396,0.076
2.398,0.078
2.4,0.08
2.4,0.04
2.402,0.042
2.404,0.044
2.406,0.046
2.408,0.048
2.41,0.05
2.412,0.052
2.414,0.054
2.416,0.056
2.418,0.058
2.42,0.06
2.422,0.062
2.424,0.064
2.426,0.066
2.428,0.068
2.43,0.07
2.432,0.072
2.434,0.074
2.436,0.076
2.438,0.078
2.44,0.08
2.44,0.04
2.442,0.042
2.444,0.044
2.446,0.046
2.448,0.048
2.45,0.05
2.452,0.052
2.454,0.054
2.456,0.056
2.458,0.058
2.46,0.06
2.462,0.062
2.464,0.064
2.466,0.066
2.468,0.068
2.47,0.07
2.472,0.072
2.474,0.074
2.476,0.076
2.478,0.078
2.48,0.08
2.48,0.04
2.482,0.042
2.484,0.044
2.486,0.046
2.488,0.048
2.49,0.05
2.492,0.052
2.494,0.054
2.496,0.056
2.498,0.058
2.5,0.06
2.502,0.062
2.504,0.064
2.506,0.066
2.508,0.068
2.51,0.07
2.512,0.072
2.514,0.074
2.516,0.076
2.518,0.078
2.52,0.08
2.52,0.04
2.522,0.042
2.524,0.044
2.526,0.046
2.528,0.048
2.53,0.05
2.532,0.052
2.534,0.054
2.536,0.056
2.538,0.058
2.54,0.06
2.542,0.062
2.544,0.064
2.546,0.066
2.548,0.068
2.55,0.07
2.552,0.072
2.554,0.074
2.556,0.076
2.558,0.078
2.56,0.08
2.56,0.04
2.562,0.042
2.564,0.044
2.566,0.046
2.568,0.048
2.57,0.05
2.572,0.052
2.574,0.054
2.576,0.056
2.578,0.058
2.58,0.06
2.582,0.062
2.584,0.064
2.586,0.066
